time,open,high,low,close,volume
1785088800,4059.65,4059.76,4058.98,4058.99,1.60067314
1785092400,4058.91,4059.00,4058.91,4058.98,0.31264681
1785096000,4058.99,4059.00,4058.90,4059.00,3.81310313
1785099600,4059.00,4068.27,4059.00,4067.63,3.64221450
1785103200,4069.88,4087.53,4069.88,4081.70,2.83462411
1785106800,4082.93,4085.69,4073.84,4085.69,12.56208388
1785110400,4088.70,4105.47,4082.98,4092.41,1.12945281
1785114000,4100.89,4100.89,4090.00,4095.59,1.52661639
1785117600,4099.88,4099.88,4085.38,4085.38,0.95713093
1785121200,4082.33,4082.97,4076.77,4081.91,1.21737819
1785124800,4081.91,4083.30,4078.65,4081.14,0.70825612
1785128400,4081.18,4081.29,4077.32,4081.12,1.11314574
1785132000,4084.07,4089.62,4083.14,4088.45,3.80387145
1785135600,4090.19,4096.04,4082.80,4082.80,0.13051492
1785139200,4083.50,4087.64,4079.34,4087.64,0.79000273
1785142800,4087.42,4087.42,4083.26,4083.26,0.03536560
1785146400,4088.50,4092.87,4084.24,4091.39,0.94780871
1785150000,4091.16,4093.93,4085.36,4086.43,6.33606134
1785153600,4088.00,4088.01,4073.20,4075.69,1.32016311
1785157200,4075.91,4081.51,4062.01,4062.01,17.79394914
1785160800,4065.83,4070.30,4055.85,4068.26,6.14287224
1785164400,4068.28,4071.73,4063.97,4071.73,12.10784198
1785168000,4071.29,4085.51,4070.65,4074.21,9.77620385
1785171600,4074.90,4074.90,4065.63,4070.03,13.78128327
1785175200,4072.03,4072.44,4066.43,4069.95,2.27285522
1785178800,4068.95,4080.89,4068.91,4075.02,0.66982350
1785182400,4076.53,4076.53,4068.30,4068.30,8.08950663
1785186000,4068.19,4071.77,4067.25,4069.29,5.09423543
1785189600,4070.91,4073.76,4063.01,4065.38,9.71467686
1785193200,4065.20,4066.21,4062.18,4063.83,4.64172541
1785196800,4063.58,4063.58,4053.43,4053.43,9.03147016
1785200400,4049.69,4050.58,4035.82,4035.82,5.25141428
1785204000,4035.22,4038.76,4035.22,4036.89,1.66602291
1785207600,4037.65,4041.55,4037.65,4041.55,0.20488594
1785211200,4041.46,4041.46,4036.62,4036.62,0.63277964
1785214800,4035.10,4036.00,4029.79,4036.00,3.61131180
1785218400,4036.00,4043.42,4036.00,4041.69,14.16035356
1785222000,4042.01,4043.68,4038.88,4038.88,1.17752280
1785225600,4040.98,4044.18,4036.13,4036.56,3.07367128
1785229200,4036.68,4036.68,4014.36,4014.36,16.84169542
1785232800,4016.79,4019.85,4013.88,4019.85,3.18207722
1785236400,4019.85,4022.75,4017.64,4020.63,1.35298794
1785240000,4017.14,4027.10,4017.14,4024.07,2.27556957
1785243600,4025.52,4027.31,4013.23,4015.10,6.91860288
1785247200,4016.67,4021.36,4007.48,4018.51,3.42259430
1785250800,4018.44,4038.05,4017.16,4038.05,7.64480702
1785254400,4038.86,4039.32,4030.46,4030.76,0.96956945
1785258000,4031.14,4034.02,4020.44,4020.44,3.24101901
1785261600,4021.55,4023.28,4014.89,4016.20,0.72017484
1785265200,4018.33,4020.40,4017.25,4019.95,0.34619200
1785268800,4020.22,4022.56,4016.84,4020.48,1.55104339
1785272400,4020.93,4026.07,4020.93,4026.07,4.01633576
1785276000,4025.52,4025.52,4007.93,4011.84,3.96124688
1785279600,4011.52,4017.98,4011.23,4017.98,6.56115435
1785283200,4018.85,4019.20,4014.08,4014.08,1.01636614
1785286800,4012.20,4021.18,4003.35,4017.81,7.50769737
1785290400,4018.39,4026.50,4015.59,4023.55,5.22042096
1785294000,4020.93,4020.93,4015.94,4015.94,6.40641803
1785297600,4013.28,4018.34,4013.07,4018.34,0.91619374
