time,open,high,low,close,volume
1785247200,63029.4,63460.2,62883.8,63337.3,76.32828170
1785250800,63335.8,63938.9,63184.6,63858.9,121.12126679
1785254400,63858.9,64018.6,63705.3,63969.9,65.92478097
1785258000,63969.9,63969.9,63437.4,63608.7,46.49225381
1785261600,63608.8,63778.2,63603.3,63662.8,27.71057382
1785265200,63660.1,63808.2,63600.0,63801.5,39.83203987
1785268800,63813.3,63929.7,63795.8,63830.6,27.93732484
1785272400,63830.6,63980.0,63810.1,63899.3,20.17591290
1785276000,63892.4,63942.4,63689.8,63707.3,30.50615694
1785279600,63701.2,63871.5,63500.0,63859.6,40.23935917
1785283200,63844.5,64094.8,63787.5,63874.7,44.76510844
1785286800,63871.3,63921.8,63620.4,63627.9,20.86519399
1785290400,63632.6,64024.3,63567.4,63880.1,19.18006769
1785294000,63893.7,63900.6,63635.7,63657.0,10.24363115
1785297600,63662.0,63883.3,63514.2,63883.2,17.00137284
1785301200,63883.3,63995.5,63812.7,63979.6,25.85065330
1785304800,63979.6,64365.2,63943.2,64342.9,49.07675409
1785308400,64342.9,64481.2,64315.8,64481.2,42.72986829
1785312000,64481.2,64490.6,64200.5,64330.9,24.46030356
1785315600,64332.0,64643.8,64303.3,64614.9,37.04015766
1785319200,64614.9,64627.0,64332.9,64393.7,24.52783169
1785322800,64393.7,64514.5,64346.3,64424.9,13.83440115
1785326400,64425.0,64434.1,64157.0,64200.0,53.56006043
1785330000,64200.0,64581.8,64064.9,64581.8,101.73376071
1785333600,64581.8,64631.2,63983.5,64021.4,92.86614658
1785337200,64017.9,64101.0,63800.7,63881.9,56.35798464
1785340800,63881.9,64035.0,63551.7,63725.0,51.69296692
1785344400,63725.0,64178.0,63634.7,64178.0,69.16901530
1785348000,64180.1,64582.2,63700.0,64424.8,162.02361411
1785351600,64429.6,64516.3,63450.0,63514.9,172.48145891
1785355200,63525.4,63650.9,63300.1,63444.2,65.66887617
1785358800,63437.7,63766.8,63208.4,63766.8,60.07270908
1785362400,63768.5,64041.6,63768.5,63859.2,61.84589923
1785366000,63859.2,63988.2,63817.9,63901.0,20.18979515
1785369600,63901.0,64024.9,63536.5,63611.7,72.48158861
1785373200,63611.2,64288.4,63611.2,64172.4,52.81712960
1785376800,64180.5,64314.3,64082.1,64097.6,14.25757211
1785380400,64097.6,64200.0,64052.0,64078.6,23.03700556
1785384000,64078.7,64095.1,63916.9,63935.8,26.04535352
1785387600,63935.9,64069.7,63829.4,63952.8,13.74058925
1785391200,63952.8,63996.3,63873.8,63920.3,8.52868033
1785394800,63920.4,64059.8,63871.8,63906.4,28.85229566
1785398400,63912.1,64252.9,63889.2,64209.1,34.82397543
